Sample,Lineage,True_Abundance,Predicted_Abundance,absolute_error
S25,Epsilon,0.741,0.404,0.33699999999999997
S26,Epsilon,0.49,0.256,0.23399999999999999
S27,Epsilon,0.29,0.126,0.16399999999999998
S28,Epsilon,0.192,0.132,0.06
S29,Epsilon,0.062,0.0,0.062
S30,Epsilon,0.028,0.0,0.028
S31,Epsilon,0.008,0.0,0.008
S32,Epsilon,0.013,0.0,0.013
S33,Epsilon,0.006,0.0,0.006
S36,Epsilon,0.119,0.0,0.119
S37,Epsilon,0.002,0.0,0.002
S40,Epsilon,0.119,0.0,0.119
S3,Eta,0.121,0.0,0.121
S4,Eta,0.078,0.0,0.078
S5,Eta,0.265,0.128,0.137
S6,Eta,0.338,0.175,0.16300000000000003
S7,Eta,0.319,0.152,0.167
S8,Eta,0.368,0.204,0.164
S9,Eta,0.207,0.0,0.207
S10,Eta,0.184,0.0,0.184
S11,Eta,0.613,0.308,0.305
S12,Eta,0.469,0.0,0.469
S13,Eta,0.575,0.33,0.24499999999999994
S14,Eta,0.551,0.306,0.24500000000000005
S15,Eta,0.511,0.263,0.248
S16,Eta,0.443,0.245,0.198
S17,Eta,0.43,0.213,0.217
S18,Eta,0.365,0.193,0.172
S19,Eta,0.385,0.201,0.184
S20,Eta,0.35,0.186,0.16399999999999998
S21,Eta,0.285,0.141,0.144
S22,Eta,0.176,0.1,0.07599999999999998
S23,Eta,0.157,0.0,0.157
S24,Eta,0.114,0.0,0.114
S25,Eta,0.199,0.0,0.199
S26,Eta,0.11,0.0,0.11
S27,Eta,0.04,0.0,0.04
S28,Eta,0.033,0.0,0.033
S29,Eta,0.013,0.0,0.013
S31,Eta,0.002,0.0,0.002
S4,Gamma,0.36,0.0,0.36
S5,Gamma,0.102,0.0,0.102
S6,Gamma,0.072,0.0,0.072
S7,Gamma,0.037,0.0,0.037
S8,Gamma,0.089,0.0,0.089
S9,Gamma,0.146,0.0,0.146
S10,Gamma,0.17,0.0,0.17
S11,Gamma,0.379,0.13,0.249
S12,Gamma,0.896,0.0,0.896
S13,Gamma,1.274,0.764,0.51
