Metric,Value
MAE (%),0.6439476744186046
RMSE (%),3.77051629923419
R²,0.9793012220491506
Pearson r,0.9899049790943303
Pearson p-value,2.764745428163683e-292
Spearman ρ,0.9528258004978848
Spearman p-value,3.650929847122558e-179
Mean Relative Error (%),55.35868853662037
Median Relative Error (%),50.2900099989432
Total Comparisons,344.0
Comparisons with True > 0.1%,344.0
