	mixture_34_variants.tsv
summarized	[('Eta', 0.4666670324116048), ('Epsilon', 0.4545450619310852), ('Other', 0.0787897437995912), ('Omicron', 8.363231671367651e-07), ('BA.2.86* (BA.2.86.X)', 5.961661498431583e-07), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 5.711576842642265e-07), ('Delta', 2.2691215634595353e-07), ('BA.2.75* [Omicron (BA.2.75.X)]', 2.254115666493905e-07), ('KP.3* (KP.3.X)', 2.0162705899808672e-07), ('XFG* (XFG.X)', 1.939012158255961e-07), ('LP.8.1* (LP.8.1.X)', 1.650353113424825e-07), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 1.5500211411656422e-07), ('EG.5* [Omicron (EG.5.X)]', 1.3604556669844806e-07), ('XBB* (XBB.X)', 9.469024178459477e-08), ('CH.1.1* [Omicron (CH.1.1.X)]', 2.248965950320955e-08), ('XBB.2.3* (XBB.2.3.X)', 2.2189643967941194e-08), ('Zeta', 1.2934878088899657e-08)]
lineages	B.1.525 B.1.427 B.1.429 B.1.429.1 B.1.9.2 B.1.1.97 B.1.1.408 FL.4.7 FL.17.2 AY.56 KP.3.1.8 XFG.13 B.1.1.345 BN.1.4.2 LY.2 BY.1.1.1 BA.2.35 BA.2.11 BF.5 BF.5.4 BF.24 BF.23 BA.5.8 BE.5 JN.1.39.3 JN.1.42.1 KP.2.10 C.16 JD.1.1.4 B.1.1.393 N.9 B.1.400.1 XBB.1.5.2 XDR.1.1 NY.13.3.1 FY.2 GK.10 HN.4.1.1 HK.18 MV.2 BQ.1.1.73 BF.5.1 HK.32 XDR.1.2 XDR.1 JN.1.18.9 XBB.1.3 B.1.177.73 KR.1.4 JN.1.18.6 MZ.3 BA.4.1.7 NY.13 NY.13.2 NY.13.1 NY.13.3 HK.3.13 FL.30 PW.3 B.1.258.22 CH.1.1.22 JE.1.1 HN.4.1 BR.5 HK.3.2 BF.5.5 CL.1.1 JW.1.1 HK.3.2.1 MU.1 MU.5 NB.1.13 ES.1 PY.1.3 NY.11.1 P.2 JN.1.18.7 GL.1 PY.5 MU.2 KP.1.1.5 MU.4 BA.2.9.2 BA.2.9.5 BA.2.9 XH PC.2.2.1 EN.1.1 PY.6
abundances	0.46666703 0.18560593 0.18560593 0.08333319 0.04545539 0.03333316 0.00000065 0.00000024 0.00000024 0.00000023 0.00000020 0.00000019 0.00000014 0.00000012 0.00000010 0.00000009 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000007 0.00000006 0.00000006 0.00000006 0.00000006 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001
resid	3.1682062310703394
coverage	14.4968732234224
