	mixture_15_variants.tsv
summarized	[('Iota', 0.2727270038531776), ('Delta', 0.25000043823765306), ('Alpha', 0.23999996792797004), ('Gamma', 0.22222197205917052), ('Other', 0.01505557190087527), ('Omicron', 1.13404646744468e-06), ('BA.2.86* (BA.2.86.X)', 1.1158226149845238e-06), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 1.0703042599829896e-06), ('KP.3.1.1* (KP.3.1.1.X)', 2.6245043306020404e-07), ('XBB* (XBB.X)', 2.5461898242574253e-07), ('XFG* (XFG.X)', 2.4097827824679176e-07), ('XEC* (XEC.X)', 2.0606195132675176e-07), ('Beta', 1.6785250434949568e-07), ('LP.8.1* (LP.8.1.X)', 1.5523143062637302e-07), ('XBB.2.3* (XBB.2.3.X)', 1.4254717229646376e-07), ('EG.5* [Omicron (EG.5.X)]', 1.19894573100184e-07), ('BA.2.75* [Omicron (BA.2.75.X)]', 7.268488543874409e-08), ('Mu', 5.092485123295296e-08), ('Zeta', 3.693549580522949e-08), ('NB.1.8.1* (NB.1.8.1.X)', 2.133239648636626e-08), ('CH.1.1* [Omicron (CH.1.1.X)]', 1.4525853854127852e-08), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 1.1737640787209108e-08)]
lineages	B.1.526 B.1.1.7 Q.3 Q.7 Q.1 AY.68 P.1.17 P.1.13 P.1.15 P.1.1 P.1.10 P.1.12 P.1.3 P.1.10.1 P.1.10.2 P.1.7.1 P.1.7 P.1.6 AY.55 AY.38 AY.57 AY.62 AY.73 AY.67 AY.65 AY.66 AY.27 AY.37 AY.60 AY.58 AY.11 AY.59 AY.72 B.1.177.8 B.1.177.65 B.1.177.86 B.1.177.48 B.1.177.7 FL.16 P.1 JN.1.10 XFG.9.4.2 XEC.17 KP.2.12 BA.2.86.4 BA.2.76 XBB.1.6 MC.17 KB.4 NL.6.1 NL.6 BF.22 MC.17.1 GJ.1.1 BW.1.2 B.1.351 B.1.177.67 BF.13 BA.5.2.58 BA.5.2.57 KS.1.1.3 XCK BA.1.17.2 BA.1.15.1 BQ.1.1.73 NN.2 NY.13.3.1 B.1.515 B.1.621 AY.26 B.1.214.3 BA.5.1.5 HG.1.1 AY.64 B.1.351.3 B.1.351.2 BC.1 BL.5 CP.3 BA.5.1.37 BF.7.14.3 B.1.214.4 DW.1 AY.28 AY.56 P.2 LP.8 BE.6 AY.4.3 AY.69 FL.30 AY.9.2 AY.9 AY.9.2.1 B.1.625 FL.1.5 B.1.620 B.1.639 Q.4 P.1.11 EW.2 B.1.177.47 HN.5 GW.5.3.1 PE.1.5 P.1.12.1 AY.5.7 NY.13.3 NY.13.1 NY.13 NY.13.2 DC.1 FW.1.1 XBM PQ.25.3.1 KD.1 FL.1.3 FL.1.2 FL.1 XFZ FW.1 JN.1.31 XEC.26 P.1.9 LP.8.2.1 BA.2.62 B.1.177.59 JQ.1 XBB.1.3 XBB.1.29 CH.1 P.5 PE.1.4.1 FL.1.8 Q.5 CM.8.1.5 CH.1.1.16 MQ.1 AY.74 B.1.575.2 XBB.7 FY.5.3 AU.2 N.10 JN.1.14 BY.1.1.1 GL.2 AY.71 AY.40 HN.6 HN.2 HN.7 HN.4 FL.1.5.1 XFH.2 XDA P.1.4 XBB.1.16.24 NM.3 BV.2 AY.24 B.1.177.80 XB HN.4.2 JN.1.17 LP.8.2 AY.133 BA.5.2.45 NA.1.1 GM.1 B.1.177.78 AY.47 AY.112.3
abundances	0.27272700 0.05999998 0.05999998 0.05999998 0.05999998 0.03448268 0.01895048 0.01895048 0.01895048 0.01895048 0.01895048 0.01895048 0.01895048 0.01895048 0.01895048 0.01722230 0.01722230 0.01722230 0.01436782 0.01436782 0.01436782 0.01436782 0.01436782 0.01436782 0.01436782 0.01436782 0.01436782 0.01436782 0.01436782 0.01436782 0.01436782 0.01436782 0.01436782 0.00301100 0.00301100 0.00301100 0.00301100 0.00301100 0.00000083 0.00000070 0.00000032 0.00000024 0.00000019 0.00000016 0.00000014 0.00000013 0.00000013 0.00000012 0.00000012 0.00000010 0.00000010 0.00000010 0.00000010 0.00000009 0.00000008 0.00000008 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001
resid	1.8699315282124456
coverage	14.898170752098451
