	mixture_38_variants.tsv
summarized	[('Kappa', 0.5000012919157023), ('Lambda', 0.4999998336690084), ('Other', 4.939612839092703e-05), ('BA.2.86* (BA.2.86.X)', 2.3517737504165785e-05), ('Omicron', 1.62008282685091e-05), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 7.002280244530881e-06), ('XEC* (XEC.X)', 5.839468317396675e-06), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 5.512289968437198e-06), ('NB.1.8.1* (NB.1.8.1.X)', 4.757907443231247e-06), ('XFG* (XFG.X)', 4.6451704032127725e-06), ('EG.5* [Omicron (EG.5.X)]', 3.701002641461534e-06), ('BA.2.75* [Omicron (BA.2.75.X)]', 3.5368783409982797e-06), ('Delta', 2.7991252249335375e-06), ('XBB* (XBB.X)', 2.5021562584116223e-06), ('XBB.2.3* (XBB.2.3.X)', 1.251816124829374e-06), ('Gamma', 8.1637893929378e-07), ('LP.8.1* (LP.8.1.X)', 8.024842376372365e-07), ('KP.3.1.1* (KP.3.1.1.X)', 6.695264549688411e-07), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 4.5491900576246183e-07), ('A', 4.351347898368249e-07), ('CH.1.1* [Omicron (CH.1.1.X)]', 3.991404106459516e-07), ('Iota', 3.5047530450835493e-07), ('KP.3* (KP.3.X)', 3.214790853174706e-07), ('Alpha', 1.9396159148513926e-07), ('Mu', 1.449716450791194e-07), ('Epsilon', 9.01228881797489e-08), ('XBB.1.9.2* [Omicron (XBB.1.9.2.X)]', 7.214460829070735e-08), ('Eta', 1.2363104605218284e-08)]
lineages	B.1.617.1 C.37 C.37.1 B.1.398 B.1.617.3 B.1.159 JN.1.10 JN.1.39.1 XEC.17 PQ.2.6 KP.2.23 XFG.24 XBB.1.5.89 B.1.177.76 JQ.1 XR FL.4.5 FL.4.6 XBB.1.5.17 B.1.1.262 BM.2.1 BA.5.5 BA.5.5.3 XT B.1.407 S.1 AF.1 AY.69 B.1.547 BF.12 KB.4 PY.6 GJ.1.2.3 XEC.32.1 BA.5.5.1 XFG.1 JJ.1 B.1.551 XBB.1.14 PC.2.2.1 XFA P.1.11 DZ.2 JG.2 FL.2.6 BA.4.7 XFM GK.8.1 GK.5.1 HV.1.3 XBB.1.14.1 BM.6 AY.112.2 B.1.1.519 LF.7.6.2 BF.7.2 NL.8.1 LF.7.3.2 BM.2.3 B.1.526 PQ.25.3.1 AY.124.1 B.1.617 B.1.214.3 B.1.249 KP.2.6.2 FH.1 B.1.639 B.1.625 MC.9.2 MQ.1 AM.4 P.5 B.1.630 BA.2.75.8 BQ.1.30 A.23.1 LF.7.3.4 AY.124.1.1 B.1.1.528 QD.1 P.1.8 FL.10.2 AM.3 CU.1 NA.1.1 XB M.1 Q.4 PQ.5.1.2 AY.35 HK.25 AY.26.1 CP.7 BR.2.1 BR.2 BQ.1.25.1 B.1.633 BQ.1.25 LF.7.3.3 B.1.629 B.1.177.5 GK.12 MB.1 CH.1.1.4 XEF.3 DS.1 BF.5.3 NA.1 MB.1.1.2 MB.1.1.1 MB.1.1 MB.1.1.3 XBB.1.34 LP.8.2.1 NZ.1 LP.8.1.3 FM.2 HU.2 KP.2.3.12 HK.34.1 QC.4.1 BA.3.2.1 B.1.429.1 FY.3.1 FY.1.2.3 B.1.627 AU.3 B.1.621 XEF.1 XFG.1.1 LP.8.2 QC.6 JH.1 BQ.1.1.25 XCQ XBB.1.19.2 MC.1.2 B.35 XDQ.1.1 XBB.1.16.6 AU.2 NT.2.1 CM.11 MV.2 DB.2 B.1.1.56 QC.4 B.1.637.1 MV.3 BA.2.36 BA.5.5.2 NY.12.1 BA.2.3.22 NY.13.2.1 AJ.1 B.1.499.1 B.1.350.1 LP.1.1 BA.4.1.7 AZ.4 B.1.1.486 B.1.640.2 BW.1.1 BW.1.1.1 BW.1.1.2 CT.1 A.3 HB.1 B.1.638 BV.2 XBK.1 CM.2.1 XBC.1.7 B.1.631 B.1.1.384 FU.3.1 MC.1.4.1 AY.42.1 B.1.641 A.30 LW.1 AB.1 BQ.1.11.1 AY.5.2 KP.1.1.4 FK.1.4.1 HK.11 KP.1.1.6 BA.1.9 XEF B.1.177.78 JC.1 XBC.1.4 NY.8 B.1.550 KP.3.2.5 QR.1 JN.1.66 BQ.1.21 JF.1.1.2 XFT.1 MC.9.3 EP.1.1.1 HK.16 NW.1.3 B.1.1.351 LF.8.1 XBV BA.2.45 AV.1 XBB.2.12 FU.5 XBB.5 LL.1 HK.1.2 XBC.1.7.1 XBB.2.3.9 PE.1.1 HK.9 KP.2.2.2 B.1.160.20 B.1.1.194 DD.1 FY.7 XBB.1.2 BQ.1.1.42 EG.1.8 B.1.160.15 NY.3.3.1 XBB.1.16.9 BA.2.51 NL.1 XFG.2.2 B.1.623 EU.1.1.1 FK.1.3.1 LU.2.1.1 CP.1.2 B.1.36.20 BA.5.2.23 MC.30.1.1 XBB.1.34.2 B.1.599 BQ.1.1.14 XDY.2 XCT.1 KC.1 HD.1.1 XBB.1.5.71 HK.5 ES.1 CH.1.1.8 FW.1 HK.3.10 B.1.160.21 B.1.36.18 FQ.1 BA.3.1 XCN LB.1.4.3 XBB.1.12.1 XBB.3.3 XBB.1.19 FR.1.3 GA.4.1.1 JF.2 FL.32.1 NY.23 BA.5.2.14 HK.34 HK.3.2.1 JH.2 XDA.1 KW.1.1 BF.7.16.1 Q.5 BA.1.1.3 MK.1 XFT BQ.1.1.73 JY.1 KP.3.1.3 BG.6 KP.4.2.1 AY.4.2.2 B.1.36.35 NL.21 HH.3 EQ.1 LZ.1 LB.1.4.2 EW.2 NL.16 FY.1.2.2 KP.3.2.3 BQ.1.24 FK.1.4 ND.2.1 KR.4 B.1.160.13 HC.3 PA.2 CK.1.1.2 MC.2.1 LB.1.3.4 B.1.1.58 NT.3 PC.3.4 NT.2 LF.7.1.7 XFG.3.1.7 NW.1.2.6 MC.1.3.1 BB.2 PK.1 XDQ.1 XBC.2.1 CH.1 MA.1.1.1 P.1.12.1 BQ.1.1.51 MQ.2 LF.7.1.4 KN.1 QC.3 B.1.36.26 LF.7.12.1 XBF.8.1 NW.1.2.5 DL.1 NL.1.1 PC.3.3 EN.1.1 NL.17 BA.2.38.1 LB.1.11.2 CD.1 AZ.6 B.1.1.240 AU.1 XBB.2.3.18 XEC.8.1 EG.5.2.1 B.1.338 NL.13 B.29 XFU QE.1 GM.1 XDY.5.1 LP.10.1 B.1.160.24 NY.17.1 FU.4 KP.3.3.9 PE.1.4.1 XFG.23.1.2 KP.2.3.6 KP.2.3.8 KE.2 BA.2.80 BA.3 B.1.177.88 XBB.1.34.1 XBC.1.1.1 A.2.5.3 GA.4.2 BC.1 BM.1.1.1 B.1.530 B.1.1.336 B.1.243.2 XBB.2.7.1 CM.8.1 CM.8.1.4 HK.12 KP.2.7 B.1.438.4 CM.8.1.2 XBC.1.7.2 XFG.6.6 XBB.1.5.108 GK.1.6.1 HF.1.2 LD.1.1 JZ.1 XCM QK.3 EY.1 LW.1.2 A.29 B.1.474 LH.2 FY.4.1.1 DV.1.1 GA.4.1.2 NC.1.2.1 JN.1.7.8 JN.1.7.9 XCH.1 FF.1 KW.1.2 BA.1.15 BA.1.15.3 JN.1.49.2 EW.3 PC.4.1.1 NY.17.2 BA.2.6 FL.1.5.2 XEC.7 CQ.1.1 NY.16.1 NY.19 JN.1.36.1 XBF.1 BF.5.2 KP.2.14.1 FY.1.3 NY.17 B.1.626 XDA BQ.1.32 BA.5.2.56 BA.5.2.7 GY.3 CA.2 DV.7.1.3 FW.1.1 FM.1 ND.2 XEF.2 KP.3.2.8 DN.1.1.1 LW.1.1 NY.3.7.1 KP.2.4 QC.2.1 BA.1.12 NH.3 AY.133 NM.3 CS.1 XDV.1.7.1 BA.1.17.2 AY.130 BH.1 QU.1 PD.1.1 BA.1.23 LP.1.2.1 A.12 A.9 A.7 XBB.3.2 LP.1.2 GL.3 XAY.1.1.1 XFB.2 PE.1.1.1 BQ.2 KN.1.1 BN.1.4.1 XBF.10 XBB.1.16.15 CH.2 MU.2.1.1 XBB.1.16.11 B.1.575.2 XET QH.1 LP.8.1.9 KW.1 XBF.7.1 XFG.18.1 CM.8.1.5 EK.2 JD.1.2.2 BA.2.25.1 BA.2.13.1 BQ.1.4 NY.13.3.1 CJ.1.1 HH.4 FL.36 A.2.3 B.1.621.2 XFG.6.5 B.1.1.526 XBB.2.3.12 FL.13.2 KD.2 XBM DN.1.1.3 B.53 ND.1 LF.8.1.1 B.1.1.445 QV.1 GA.7.1 JP.1.1 BA.5.2.25 BA.5.6.2 BE.1.1.1 BA.5.2.36 LF.7.3.5 BA.2.44 MG.1 LE.1.1 GD.3 CG.1 MZ.1 KC.1.1 JM.1 XDY.1.1 KP.3.2.1 NW.1.1.1 PV.3.1 KP.4.2.5 EG.10.1.1 EG.10.1 CM.7.1.1 BF.18 XBB.3.1 NF.1.2 BQ.1.20 HK.13.2.1 KS.1.2 CM.5.1 ED.1 JY.1.1 PV.2 HG.3 CR.1.3 XBC.1.3 KD.4 XBC.1.3.1 KD.3 KS.1.1.3 HK.11.1 MU.2.1 XBB.1.40 KP.1.1.2 B.1.258.4 PA.1.4 NM.2 BQ.1.8.1 MF.2 BM.1.1.4 XBB.2.6.1 GH.1 BQ.1.19 B.1.640.1 EC.1.1 BQ.1.7 KP.3.2.4 FL.1.1 B.1.466.1 JF.4 MD.3.1.4 CH.1.1.6 PK.1.1 PF.2.1 XBB.2.2 GM.3 GA.4.3 XFS DG.1 XBB.1.16.23 BQ.1.8.2 BN.1.10 B.1.621.1 XDV.1.2.1 KP.2.8 XBB.7 HC.2 MU.3 XBB.1.5.53 NY.20.1 LD.2 JA.1 XDK.6 B.1.36.21 B.1.525 B.1.258.23 BA.2.22 BN.1.7 KW.1.1.1 BA.2.38.3 BQ.1.28 B.1.177.67 BN.2.1 B.1.36.23 HG.1 XFZ XBF.1.1 BA.5.2.24 CK.2 BA.5.1.29 DJ.1 HK.2 AY.33.1 EN.1 B.1.1.207 NY.3.2 MC.33.2 B.6.1 B.6.5 B.6.3 B.6.6 B.6.2 B.6.4 B.6.8 XCU B.1.552 CM.8.1.3 KP.2.14.2 GA.9 BN.1.1.1 B.1.541 DV.6.1 DV.5 DV.8 DV.6.2 XBB.2.3.1 FK.1.1.1 XCR B.1.620 KP.2.2 Q.2 XBB.1.21 B.1.127 LP.8.1.15 NY.3.7 FY.1.4.1 KE.1 AH.1 KP.2.3.3 FY.8 FY.1.2 MD.1.2 GW.2 XBB.1.5.44 BQ.1.1.75 KP.1.2 XFJ.3 XFJ.3.1 MG.4 CM.7 NY.12 B.1.36.25 HW.1.1
abundances	0.50000129 0.24999992 0.24999992 0.00001741 0.00000733 0.00000574 0.00000493 0.00000492 0.00000487 0.00000427 0.00000362 0.00000352 0.00000299 0.00000285 0.00000247 0.00000236 0.00000232 0.00000232 0.00000232 0.00000220 0.00000187 0.00000166 0.00000166 0.00000159 0.00000151 0.00000151 0.00000151 0.00000139 0.00000126 0.00000126 0.00000112 0.00000103 0.00000098 0.00000092 0.00000090 0.00000087 0.00000083 0.00000080 0.00000065 0.00000064 0.00000062 0.00000062 0.00000061 0.00000061 0.00000054 0.00000054 0.00000051 0.00000050 0.00000050 0.00000047 0.00000045 0.00000044 0.00000043 0.00000040 0.00000039 0.00000038 0.00000038 0.00000037 0.00000037 0.00000035 0.00000034 0.00000031 0.00000029 0.00000026 0.00000026 0.00000025 0.00000025 0.00000024 0.00000024 0.00000024 0.00000024 0.00000023 0.00000021 0.00000021 0.00000021 0.00000020 0.00000020 0.00000019 0.00000019 0.00000018 0.00000018 0.00000017 0.00000017 0.00000016 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000013 0.00000013 0.00000013 0.00000012 0.00000012 0.00000012 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000009 0.00000009 0.00000009 0.00000009 0.00000009 0.00000009 0.00000009 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001
resid	3.4346618190614366
coverage	14.72093101026653
