	mixture_43_variants.tsv
summarized	[('Delta', 0.9869477172716219), ('Other', 0.013571590967652853), ('Omicron', 0.00028004020764262435), ('BA.2.86* (BA.2.86.X)', 0.00014505494357441916), ('EG.5* [Omicron (EG.5.X)]', 7.322894949977385e-05), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 6.552488709430702e-05), ('KP.3.1.1* (KP.3.1.1.X)', 3.204915051768914e-05), ('XFG* (XFG.X)', 2.399240504238962e-05), ('XBB* (XBB.X)', 2.2067603840700858e-05), ('BA.2.75* [Omicron (BA.2.75.X)]', 2.197796620755777e-05), ('XBB.2.3* (XBB.2.3.X)', 1.7832067523360656e-05), ('NB.1.8.1* (NB.1.8.1.X)', 1.7830493362678782e-05), ('LP.8.1* (LP.8.1.X)', 1.764857297686522e-05), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 1.5943533203150008e-05), ('XEC* (XEC.X)', 1.4871202065175018e-05), ('CH.1.1* [Omicron (CH.1.1.X)]', 1.2075098873658978e-05), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 1.1821335039350625e-05), ('KP.3* (KP.3.X)', 7.0746315211063995e-06), ('XBB.1.9.2* [Omicron (XBB.1.9.2.X)]', 3.640675852176251e-06), ('A', 3.488906432050391e-06), ('Lambda', 3.0120048945962734e-06), ('Gamma', 1.9590788792820926e-06), ('Alpha', 1.4198681195295195e-06), ('Iota', 3.6786888896092676e-07), ('Mu', 3.2580733038536095e-07), ('Eta', 1.3919565768677164e-07), ('Epsilon', 3.602922482333422e-08), ('Beta', 3.347895300831742e-08)]
lineages	AY.57 AY.58 AY.11 AY.55 AY.38 AY.59 AY.62 AY.72 AY.60 AY.27 AY.73 AY.37 AY.67 AY.65 AY.66 AY.20.1 AY.75 B.1.177.38 V.2 B.1.177.54 KL.1 BA.5.2.63 CK.3 BA.2.12.1 KU.1 HC.2 B.1.1.74 XEK.6 CJ.1.3.1 KK.2 B.1.350.1 JE.1.1 MC.19.1.1 BA.2.86.4 LF.7.1.6 EM.1 XBU XBS B.1.463 XFG.3.14 XEC.25.1.2 NE.1 NA.2 CK.2.1.1 XFG.4.2 XFG.9.4.2 AY.56 CM.10 FL.21.1 LB.1.1 B.1.160.9 MC.5 LP.6 B.1.36.12 BE.4.2 KP.3.1.5 PQ.25.2 AY.46.4 DJ.1.3 BG.2 MC.24.2 MC.24 C.38 B.1.177.41 JT.1 GY.2.1 AY.9.2.1 AY.9 AY.9.2 DN.1.1.4 CK.1.3 FL.28 AY.106 AY.28 JN.1.7.1 HG.3 KL.1.1 B.1.287 AY.17 AY.112 AY.112.1 XDP.3 B.1.350 CH.1.1.30 FP.2.1.1 FY.6.2 JN.1.4.1 PW.3 B.1.428.2 JF.3 DR.1 B.1.544 XDV.1.4 NY.15 NY.15.2 NY.15.1 JN.1.34 XDD.1 DK.1 AY.83 BQ.1.1.46 B.1.363 BQ.1.1.42 LF.7.1.9 BQ.1.1.14 ED.1 PE.1.1 XBB.1.16.14 LP.1.1 QJ.2 B.1.466.1 NY.22 V.1 KG.1 EN.1.1 LB.1.9 A.2.3 BQ.1.1.16 B.1.177.63 NL.21 CW.1 KP.2.12 XBF.10 B.1.14 XEC.4.8 PF.2.3 AY.74 ND.1.1.3 CH.1.1.16 XFW BA.2.3.6 HM.1 PQ.25.1 PQ.25 XCQ AY.5.2 EG.4.1 EU.1.1.3 PQ.2.6 AY.39.1.4 PQ.2.5.2 PQ.2.5 BA.2.24 XBD B.1.338 KP.2.26 FY.4.1.1 B.1.36.20 EU.1.1.1 JB.1.1 XDA.1 AH.3 XBB.1.5.30 QJ.1 B.35 BA.2.61 AY.124.1.1 HN.4.1.1 XEN XBB.1.5.58 AY.36.1 AY.36 AY.20 XBV NM.1 AY.26 AY.75.3 BA.2.8 B.1.623 C.37 C.37.1 FK.1.4 EG.1.7 JN.1.27 LQ.2 LB.1.2.2 XAY.2.3 B.1.177.84 XEC.27.2.2 XCD XBB.2.3.16 KE.2 XEC.5.1 AY.127.3 ME.1 GK.1.6.1 PA.2 BA.2.75.8 KP.6 AY.71 B.1.160.31 BR.1.1 JN.11.1 JN.1.11 XFG.17.4 B.1.177.68 BQ.1.26.2 BQ.1.13.1 KP.2.28 XCM XEF.1 GK.1.5 GK.1.7 AY.69 BS.1.2 EF.1.1.1 XFB.3 XFB.1 XFB PQ.5.1.1 FL.1.6 AY.33.2 KP.2.6 AY.112.2 AY.2 FK.1.4.1 MF.1 BA.2.83 BA.4.1.7 XDM B.1.625 FL.32.1 XFW.1 B.1.177.78 FY.5.3 XCH XCS EY.1 DG.1 AY.130 AY.47 C.7 BL.6 JH.1 PU.1 ES.1 XCT.1 BA.2.3.22 XEC.7 AY.19 XFG.5.1.1 XCF.1 CA.3.1 NY.9 XBB.1.44 XBB.4.1 KP.3.4 CQ.2 JN.11 XAW A.23 AY.24 KP.3.1.3 FK.1.1.2 NB.1.13 BQ.1.1.39 Q.2 AY.9.2.2 XCK XDA B.1.640.2 NH.1 BQ.1.28 XBP KP.2.1 PQ.25.3.1 C.30.1 C.30 B.1.177.88 DD.1 DV.7.1.6 XBB.5 BY.1.1.1 CK.1.1.1 EU.1 B.1.177.5 AY.4.2.2 PY.4.1 LP.5 XCA FY.5.1.1 XCH.1 B.1.1.445 XEN.1 BN.1.5.2 CL.1 BA.2.87.1 AY.43.1 Q.5 B.1.627 B.1.177.26 AY.10 AY.61 XEC.22 AY.41 P.1.4 NM.3 XD LD.1.1 JN.1.17 NY.3.6 BA.3.2 JN.1.24.1 HK.22 AU.1 FU.3.1 AY.75.2 AY.4.2.5 AY.4.2.3 AY.4.2.1 AY.4.2 GA.10.1 GA.4.1.1 XBB.1.16.28 GL.2 KP.2.28.1 XFV.2 BQ.1.2.2 GL.1 NY.17.1 ND.2.1 XFJ.2.1 GK.1.2 PZ.1 MD.4 BC.1 JN.1.11.2 B.1.632 XFB.2 BA.1.9 BV.2 CA.1 AY.64 BA.1.1.9 BA.1.1.5 BA.1.1.7 BA.1.1.18 BA.1.1.13 BA.1.1.14 BA.1.1.6 BA.1.1.11 BA.1.1.8 BA.1.1.15 BA.1.1.12 BA.1.1.10 BA.1.1.17 BA.1.1 BA.1.1.1 BC.2 BA.1.1.2 AY.24.1 XEM KP.2.3.2 CL.1.3 MC.24.1 DN.1.1.3 C.39 BF.7.4.3 XEC.4.1.5 XFK MC.9.2 JE.1.1.1 BA.1.24 MC.9.3 NW.1.7.2 XBB.1.48 XDD.1.1.1 AY.70 AY.51 QC.1 EV.1 NJ.1 AY.4.2.4 BM.1.1.5 XFM XDV.1.6 B.1.36.31 XEG PQ.25.3 JN.1.56.1 XBB.2.12 BQ.1.30 PE.1.1.1 NK.1 MC.28.1.1 NW.1.2.6 KS.2 JN.1.13.1 B.1.177.64 AY.34.2 LQ.1.1.1 XFG.3.1.7 KS.1.4 AY.63 PQ.2.7.1 B.1.641 XFG.6.5 B.1.630 MN.1 HF.1.2 FL.17.2 FL.4.7 B.1.526 LQ.1.1 CL.1.2 B.1.177.49 NB.1.10 KP.4.2.5 KW.1.2 FL.24 GK.6 PQ.2.5.1 LP.8.2 XEN.2 XBB.3.3 FG.1 AY.31 PQ.19 MF.2 AY.133 B.1.258.17 B.1.258.5 MP.1 B.1.258.23 LU.2.1.1 XBT MC.9 CA.7 FU.2.1 HE.2 XBB.1.28 XFJ.4 XFJ.4.1 KP.2.6.3 FT.2 GK.1.4 AY.68 B.1.177.46 B.1.638 XBB.1.12.1 GY.1.1 GE.1.2.1 QK.2 BA.4.6.2 XDY.2 XDK.5 NY.12.1 NY.11.1 XBB.2.7.1 AZ.6 ML.1 LF.7.10.2 XFZ KP.2.6.1 NB.1.1.1 NB.1.6.1 JN.1.7.6 B.1.258.4 KP.4.2.4 BA.2.38.4 XFG.2.2 JN.1.62 B.1.177.30 BA.2.11 BA.2.35 LD.2 LF.7.6.4 NL.8.1 P.1 FR.1.4 FR.1.5 BA.4.1.11 MC.1.3.1 XFG.15 KP.2.25.1 B.1.466.2 NL.1.1 XBB.4 LT.1 FL.2.6 JW.1.1 EC.1.1 NL.5.2.1 CL.1.1 XFW.1.1 JN.1.24 P.1.5 PQ.9.1.1 BR.1.2 QN.1 NW.1.3 XBA JH.2 B.1.249 FY.3.1 KP.2.11 MD.3.1.3 BQ.1.29 FL.24.1 LF.7.11.3 KP.2.25.2 LZ.2.1.2 PE.1.5 P.1.9 NY.13.2.1 XFG.6.2.1 HH.4 BA.1.1.16 XS BR.2.1 BR.2 XCR GA.4.1 GA.4.1.3 B.1.160.24 XBB.2.2 XBB.1.10 C.36.3.1 FL.20.2 B.1.177.62 CM.7.1.1 AY.26.1 HH.3 B.1.160.32 GK.2.2 BB.2 XBB.3.2 GM.1 QL.1 BA.1.16.1 P.1.17.1 XBM XFU P.1.12.1 NY.3.7 XFT KP.2.25.3 XBB.1.38.1 BQ.1.33 EK.2.1 MY.1 XP XDD.1.1 LE.1.1 BA.1.1.4 NL.17 CV.1 BY.1.1 EG.10.1.1 EG.10.1 FL.26.1 BQ.1.1.30 XBB.2.8 XBB.2.7 XBB.2.11.1 XBB.2.11 XBB.2 XBB.2.6 NL.16.1 GY.1.1.1 LP.8.2.1 XBB.1.13 XBB.1.36 LF.7.1.12 XEK.2.1 BA.2.62 MV.1.4.1 BQ.1.1.41 L.3 KP.2.10 JN.1.18.7 XBB.1.31.2 XBB.1.31 XBR NY.1.2.1 BG.6 B.29 KR.4.1 PK.1.1 GA.7.1 BL.2.1 XEC.20.1 KH.1 A.29 CU.1 MC.28.1 NY.3.2 LE.1.3 AA.3 XFG.4.1.2 XFG.3.1.4 B.1.525 AY.29.2 MQ.1 GK.1.2.1 PS.1 XBB.2.5 XBB.1.9.6 XEC.6 XEK.4 B.1.621 GK.2 GK.2.1 NW.1.4 LB.1.3.2 PK.1 QC.5 XEC.13 FQ.1 HK.1.2 CJ.1.1 XFJ.5 XFG.2.1 LH.2 JN.1.31 PS.2 BR.1 LB.1.4.2 B.1.499.1 CQ.1.1 LH.1 MC.41 FR.1.2 XEE XFG.32 B.1.438.3 B.1.438.2 B.1.438.1 KS.1.1.3 BA.2.38.1 XEK.2 XEF XCU XFP.2 XFP LF.7.11 LF.7.11.1 XDT XBB.2.3.18 B.1.550 JN.1.6.1 XDQ.3 DT.1 NB.1.11 B.1.616 XCN AY.119.1 A.2.5.3 XDW XEC.2.4 FY.2.1 XFY QF.1 CH.1.1.8 C.16 KS.1.2 FL.2.2.1 PQ.1.6.1 LF.7.6.1 NW.1.2.5 KN.1 GC.1 CM.6.1 BR.3 KK.1 FL.10.2 LE.1.2 CM.3 XBB.1.4 LZ.5 JN.1.18.2 LF.7.11.2 XES.1.1 AY.25.3 QK.3 XFG.3.5.1 KP.2.6.2 B.46 XBB.2.6.2 PQ.4.2 U.3 MD.4.1 XEK.1.1 KT.1.2 KT.1 KT.1.1 FL.9 B.1.177.20 B.1.177.19 JK.1 NB.1.1 NB.1.5.3 KP.4.2.3 B.1.588.1 B.1.588 BA.2.13.1 LP.10 B.1.177.27 MW.1 XBB.2.1 XFT.1 KP.4.1.2 XBC.1.6.3 XBC.1.6.4 XBC.1.6 XBC.1.6.1 XBC.1.6.2 HW.1.3 HW.1 XBC.1.6.5 HW.1.2 XBC.1.6.6 KP.4.1.1 FR.1.1 JC.4 MC.9.1 BQ.1.1.25 GK.1 GK.1.9 GK.1.3 GK.1.10 XBB.1.27 LF.7.3.5 AY.103.1 XEC.11.1.1 EW.3 XBB.1.38 CH.1.1.20 XFG.5.2.1 XFG.3.3 XFG.3.3.1 XFG.3.5.2 KC.1 NY.17 B.1.305 XEF.2 KP.3.1.7 AY.123.1 B.1.415.1 B.1.438.4 XBB.1.13.1 CH.1.1.1 PQ.4.3 AY.131 GQ.1.1 JP.1 XBC.1.2.1 HU.1.1 FL.20 MK.3 MC.32.1 MC.33.1 MC.19.1 B.1.619 B.1.619.1 NB.1.5.1 KP.2.25 KP.2.24 KP.2.15 KP.4.1 KP.4.1.3 KP.2.20 KP.2 XEK.1.2.1 XEC.2.5 B.1.1.56 KP.2.6.4 PQ.22 DT.3 XBB.1.4.1 C.40 BR.5 XBB.1.2 PP.1.1 JD.1.1.1 LZ.4 BA.5.1.26 B.1.429.1 NM.2 BL.1.1 PS.3 LU.2.1 MG.3 B.1.351 B.1.637 B.1.177.12 BQ.1.17 JN.1.28.1 GT.1 B.1.570 HN.3.1 B.1.177.10 MP.1.1 PL.3 XFG.3.7 NH.2 LF.7.1.5 KC.1.1 FY.3.2 BL.1.3 MC.4 B.1.524 AY.43.7 PG.2 GS.4.1 P.1.10 P.1.13 P.1.1 P.1.17 P.1.15 P.1.12 P.1.10.2 P.1.3 P.1.10.1 GS.6 XFF B.1.177.9 FY.1.4.1 GU.1 PA.1.1 GA.6.1 FL.20.1 B.1.3 QC.6 JP.1.1 PQ.17.3 B.1.1.273 XFG.3.4.5 GD.2 PP.1.1.1 EK.2 LB.1.7.2 BM.1.1.1 DM.1 BA.1.1.3 DV.1 FY.3.3 XBB.1.41.2 AY.34 JC.5.1 P.1.16 P.1.2 GS.4.1.1 P.1.14 B.1.1.353 FF.1 MA.1.1 BA.2.54
abundances	0.06413498 0.06413498 0.06413498 0.06413498 0.06413498 0.06413498 0.06413498 0.06413498 0.06413498 0.06413498 0.06413498 0.06413498 0.06413498 0.06413498 0.06413498 0.01249886 0.01234411 0.01187588 0.00076212 0.00076212 0.00006917 0.00005957 0.00005957 0.00003260 0.00003082 0.00002694 0.00001856 0.00001340 0.00001271 0.00001222 0.00001147 0.00001120 0.00001054 0.00000928 0.00000845 0.00000820 0.00000733 0.00000733 0.00000684 0.00000646 0.00000645 0.00000642 0.00000632 0.00000627 0.00000626 0.00000626 0.00000618 0.00000601 0.00000599 0.00000594 0.00000570 0.00000554 0.00000544 0.00000536 0.00000530 0.00000476 0.00000468 0.00000457 0.00000454 0.00000443 0.00000435 0.00000435 0.00000431 0.00000421 0.00000411 0.00000408 0.00000404 0.00000404 0.00000404 0.00000398 0.00000392 0.00000380 0.00000372 0.00000357 0.00000348 0.00000341 0.00000338 0.00000332 0.00000328 0.00000327 0.00000327 0.00000324 0.00000322 0.00000322 0.00000318 0.00000317 0.00000316 0.00000307 0.00000295 0.00000292 0.00000288 0.00000285 0.00000278 0.00000277 0.00000277 0.00000277 0.00000273 0.00000273 0.00000270 0.00000268 0.00000266 0.00000265 0.00000260 0.00000259 0.00000259 0.00000253 0.00000253 0.00000253 0.00000251 0.00000250 0.00000249 0.00000248 0.00000247 0.00000244 0.00000241 0.00000240 0.00000238 0.00000238 0.00000237 0.00000235 0.00000230 0.00000230 0.00000224 0.00000224 0.00000222 0.00000214 0.00000209 0.00000208 0.00000201 0.00000200 0.00000191 0.00000191 0.00000189 0.00000189 0.00000189 0.00000188 0.00000185 0.00000184 0.00000184 0.00000184 0.00000183 0.00000183 0.00000182 0.00000181 0.00000177 0.00000176 0.00000176 0.00000175 0.00000174 0.00000174 0.00000171 0.00000171 0.00000170 0.00000170 0.00000169 0.00000167 0.00000166 0.00000166 0.00000165 0.00000164 0.00000161 0.00000161 0.00000161 0.00000158 0.00000157 0.00000156 0.00000154 0.00000153 0.00000151 0.00000151 0.00000151 0.00000147 0.00000145 0.00000145 0.00000142 0.00000141 0.00000141 0.00000139 0.00000137 0.00000135 0.00000132 0.00000132 0.00000132 0.00000131 0.00000129 0.00000127 0.00000127 0.00000126 0.00000125 0.00000125 0.00000124 0.00000123 0.00000122 0.00000122 0.00000122 0.00000120 0.00000120 0.00000120 0.00000120 0.00000120 0.00000118 0.00000118 0.00000118 0.00000118 0.00000115 0.00000114 0.00000112 0.00000112 0.00000112 0.00000110 0.00000110 0.00000109 0.00000109 0.00000107 0.00000106 0.00000105 0.00000105 0.00000103 0.00000103 0.00000103 0.00000102 0.00000102 0.00000101 0.00000100 0.00000100 0.00000100 0.00000100 0.00000098 0.00000098 0.00000096 0.00000096 0.00000096 0.00000096 0.00000096 0.00000094 0.00000094 0.00000094 0.00000094 0.00000093 0.00000093 0.00000092 0.00000091 0.00000091 0.00000090 0.00000090 0.00000089 0.00000089 0.00000088 0.00000088 0.00000087 0.00000086 0.00000085 0.00000083 0.00000082 0.00000082 0.00000082 0.00000081 0.00000081 0.00000080 0.00000080 0.00000080 0.00000078 0.00000077 0.00000077 0.00000076 0.00000076 0.00000075 0.00000075 0.00000074 0.00000074 0.00000074 0.00000073 0.00000073 0.00000069 0.00000069 0.00000069 0.00000068 0.00000067 0.00000067 0.00000067 0.00000067 0.00000065 0.00000065 0.00000064 0.00000063 0.00000062 0.00000061 0.00000061 0.00000061 0.00000061 0.00000060 0.00000060 0.00000060 0.00000059 0.00000059 0.00000059 0.00000058 0.00000058 0.00000058 0.00000057 0.00000057 0.00000056 0.00000056 0.00000056 0.00000056 0.00000056 0.00000055 0.00000055 0.00000055 0.00000055 0.00000055 0.00000055 0.00000055 0.00000055 0.00000054 0.00000054 0.00000054 0.00000054 0.00000053 0.00000053 0.00000053 0.00000053 0.00000053 0.00000052 0.00000051 0.00000050 0.00000050 0.00000049 0.00000049 0.00000049 0.00000048 0.00000048 0.00000048 0.00000048 0.00000048 0.00000048 0.00000048 0.00000048 0.00000048 0.00000048 0.00000048 0.00000048 0.00000048 0.00000048 0.00000048 0.00000048 0.00000048 0.00000048 0.00000048 0.00000048 0.00000047 0.00000047 0.00000046 0.00000046 0.00000046 0.00000046 0.00000046 0.00000046 0.00000045 0.00000045 0.00000045 0.00000045 0.00000044 0.00000044 0.00000044 0.00000044 0.00000043 0.00000043 0.00000043 0.00000042 0.00000042 0.00000042 0.00000042 0.00000041 0.00000041 0.00000041 0.00000041 0.00000040 0.00000040 0.00000040 0.00000040 0.00000040 0.00000039 0.00000039 0.00000039 0.00000039 0.00000039 0.00000039 0.00000039 0.00000039 0.00000039 0.00000039 0.00000038 0.00000038 0.00000038 0.00000038 0.00000037 0.00000037 0.00000037 0.00000037 0.00000037 0.00000037 0.00000037 0.00000037 0.00000036 0.00000036 0.00000036 0.00000036 0.00000036 0.00000036 0.00000036 0.00000036 0.00000035 0.00000035 0.00000035 0.00000035 0.00000035 0.00000035 0.00000034 0.00000034 0.00000034 0.00000034 0.00000034 0.00000034 0.00000034 0.00000034 0.00000033 0.00000033 0.00000033 0.00000033 0.00000033 0.00000033 0.00000033 0.00000033 0.00000033 0.00000032 0.00000032 0.00000032 0.00000032 0.00000032 0.00000031 0.00000031 0.00000031 0.00000031 0.00000031 0.00000031 0.00000031 0.00000030 0.00000030 0.00000030 0.00000030 0.00000030 0.00000030 0.00000030 0.00000029 0.00000029 0.00000029 0.00000029 0.00000029 0.00000029 0.00000029 0.00000029 0.00000028 0.00000028 0.00000028 0.00000028 0.00000028 0.00000028 0.00000028 0.00000027 0.00000027 0.00000027 0.00000027 0.00000027 0.00000027 0.00000027 0.00000027 0.00000027 0.00000027 0.00000026 0.00000026 0.00000026 0.00000026 0.00000026 0.00000026 0.00000025 0.00000025 0.00000025 0.00000024 0.00000024 0.00000024 0.00000024 0.00000024 0.00000024 0.00000024 0.00000024 0.00000024 0.00000023 0.00000023 0.00000023 0.00000023 0.00000023 0.00000023 0.00000023 0.00000023 0.00000022 0.00000022 0.00000022 0.00000022 0.00000022 0.00000022 0.00000022 0.00000022 0.00000022 0.00000021 0.00000021 0.00000021 0.00000021 0.00000021 0.00000021 0.00000021 0.00000021 0.00000020 0.00000020 0.00000020 0.00000020 0.00000020 0.00000020 0.00000020 0.00000019 0.00000019 0.00000019 0.00000019 0.00000019 0.00000018 0.00000018 0.00000018 0.00000018 0.00000018 0.00000018 0.00000018 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000009 0.00000009 0.00000009 0.00000009 0.00000009 0.00000009 0.00000009 0.00000009 0.00000009 0.00000009 0.00000009 0.00000009 0.00000009 0.00000009 0.00000009 0.00000009 0.00000009 0.00000009 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001
resid	2.729700355004244
coverage	14.898170752098451
