	mixture_37_variants.tsv
summarized	[('Kappa', 0.46428591758474586), ('Iota', 0.4285868164230079), ('Other', 0.08933099065997523), ('Delta', 0.0178583265754729), ('BA.2.86* (BA.2.86.X)', 2.778804548161572e-05), ('Omicron', 2.428163620574004e-05), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 1.2561796107565932e-05), ('XBB* (XBB.X)', 6.4036766807020754e-06), ('XEC* (XEC.X)', 6.378764912779501e-06), ('EG.5* [Omicron (EG.5.X)]', 4.354932535847885e-06), ('A', 3.904089454353572e-06), ('KP.3* (KP.3.X)', 2.0207992436860295e-06), ('LP.8.1* (LP.8.1.X)', 1.7577804663971714e-06), ('NB.1.8.1* (NB.1.8.1.X)', 1.6221519938391199e-06), ('XFG* (XFG.X)', 1.277732602168891e-06), ('CH.1.1* [Omicron (CH.1.1.X)]', 1.2140650505751718e-06), ('XBB.2.3* (XBB.2.3.X)', 1.1557752270021149e-06), ('Gamma', 1.0136710765150274e-06), ('BA.2.75* [Omicron (BA.2.75.X)]', 9.644202430333812e-07), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 7.839733395052138e-07), ('Zeta', 5.7696151001078e-07), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 5.371706794562259e-07), ('Eta', 4.855002277187306e-07), ('KP.3.1.1* (KP.3.1.1.X)', 4.0691182418030116e-07), ('Mu', 2.0296353179802514e-07), ('Beta', 1.8009731325161746e-07), ('Alpha', 1.3881736394555957e-07), ('Epsilon', 7.86403261959607e-08), ('XBB.1.9.2* [Omicron (XBB.1.9.2.X)]', 6.493923889047882e-08), ('Theta', 5.326039357742485e-08)]
lineages	B.1.617.1 B.1.526 B.1.1.242 B.1.1.196 XC AY.29.1 JN.1.10 B.1.400.1 N.9 B.1.1.393 B.1.398 B.1.617 XEC.17 BQ.1.1.57 A.11 XBB.1.3 BQ.1.1.27 AY.4.3 HK.3.6 LB.1.2.2 HN.3.1 JQ.1 MM.2 BA.2.36 HN.4.1.1 KB.4 FL.1 FL.1.3 FL.1.2 BA.2.8 PY.6 BA.2.82 JN.1.56.1 BA.1.17.2 B.1.551 BA.2.42 BA.2.10.3 BA.2.31.1 XS BA.1.1.16 P.1.11 FL.30 BE.1.4.1 JN.1.7.6 KP.2.14.1 NY.22 HU.2 CH.1.1.16 P.2 KP.4.2.3 PQ.25.3.1 B.1.525 LP.5 CM.10 QC.6 HN.4.2 BA.5.2.45 NY.9 XDV.1.7.4 BQ.1.1.2 BQ.1.1.44 LF.7.6.4 B.1.214.3 KP.2.3.10 B.1.625 FW.1 B.1.1.345 EW.2 XFG.6.2.1 HN.4 HN.7 HN.2 FL.1.5.1 HN.6 FL.1.8 FL.1.5 B.1.595.2 B.1.620 FB.1 LF.7.1.9 KP.2.17 B.1.1.415 NK.1 B.1.550 LQ.1.1 AV.1 B.1.184 LQ.1.1.1 B.1.1.525 XFJ.2.1 JN.1.28.1 XEC.27.2.2 B.1.1.193 LB.1.9 KW.1 CU.1 C.19 B.1.243.1 B.1.639 C.38 BA.2.55 FW.1.1 PL.2 R.1 FL.10.3 CH.1.1.4 FL.13.4.1 AZ.4 KN.1 GE.1.2.1 B.1.634 KN.1.1 B.1.177.88 LF.7.11 PN.1 LB.1.11.1 P.1.8 A.23.1 KL.1.1 XFF.1 JH.2 XEN AY.43.5 B.1.177.5 NM.3 BD.1 N.10 M.1 KP.2.14.2 PY.4.1 MQ.1 KW.1.2 XCQ FL.30.1 MZ.4 NY.3.6 KW.1.1 B.1.618 XFF B.1.1.351 XBB.2.9 XBB.2.4 BF.31.1 NH.1 B.1.632 FL.1.1 FL.1.4 MZ.4.1 B.1.1.528 GJ.1.1 XDA XBB.1.34 MV.1.3.1 KC.1 Q.4 XDA.1 HN.2.1 XBB.2.7.1 MG.3 HK.6 C.1.1 PQ.5 PZ.1 LP.8.2.1 KE.1 XBB.1.5.40 NL.8.1 AT.1 XFW PQ.17.3 A.2.5.3 B.1.638 B.1.415.1 R.2 BU.3 XBB.2.5 B.1.177.62 LF.7.11.3 XAJ XFG.32 KS.1.4 XFG.4.1.2 QC.1 HK.25 B.1.1.375 JF.2 B.1.621 KP.2.26 C.40 C.1.2 FU.4 NA.2 B.1.1.341 B.1.429.1 XEF.1 AY.133 KR.4.1 BA.3.2.1 FY.1.2.3 DZ.2 LZ.2.1.2 PL.1.2 B.1.621.2 DQ.1 XFJ.4 XFJ.4.1 B.1.626 NJ.1 U.3 DU.1 B.1.1.483 MV.1.4.1 FU.2.1 XBB.2.12 PQ.9.1 XCK GL.3 XAY.1.1.1 XBK.1 LF.7.10.2 BG.2 HN.5 NY.17.1 PC.2.2.1 FW.1.1.1 XBB.2.2 XDT B.1.177.78 GJ.4 LF.7.1.12 HN.1 XBB.2.8 XBB.2 XBB.2.11 XBB.2.7 XBB.2.6 XBB.2.11.1 ND.1.1 BA.2.75.8 LF.7.11.1 XBC.1.2.1 B.1.351 CM.8.1.2 B.1.524 FY.3.1 ND.1.1.1 XEN.1 XBB.2.6.3 XBB.1.34.2 FL.1.5.2 NE.1 PQ.10.1.1 NL.16.1 DV.7.2 LP.1.2.1 JB.2.1 XDW B.1.1.336 B.1.530 XFG.3.1.4 B.1.640 JW.1.1 CA.1 PA.1.1 PQ.30 P.3 BA.5.2.19 XFG.5.1.1 CN.1 XFG.3.7 BF.7.14.4 BE.7 XBB.2.3.9 B.1.177.39 XFS XAY.1.1.2 XAY.1.1 XAY.1.1.3 BM.6 PE.1.4.2 PE.1.4 BA.4.1.11 PQ.1.6.1 BF.11.5 AY.74 BF.7.3 CH.1.1.18 PC.5 XFT.1 HV.1.4 B.1.404 XFG.2.2 BR.3 MU.2.1.1 B.1.351.3 B.1.351.2 BE.4.2 XFG.24 BA.3.1 XEN.2 BM.1.1.5 JV.2 QJ.2 XBB.2.3.21 MV.1.3 PL.3 XAY.1 XAY.1.2 BL.2.1 KS.1.2 EV.1 BE.6 AY.28 GK.1.10.1 PD.1.1 BF.38.3 BA.5.1.34 B.1.640.2 BA.2.75.4 KT.1.1 KT.1.2 KT.1 BR.2 BR.2.1 HC.1 CB.1 XDY.8 BQ.1.25.1 B.1.601 XEF.3 XEF BA.4.4 B.1.177.49 AY.33.1 AU.2 AY.130 KP.3.4 GA.7.2 CR.2 KC.1.1 JS.2 PQ.1.2 PQ.2.4.2 PQ.2.1 PQ.8.1 PQ.10.1.4 PQ.17 PQ.17.1 PQ.10.1 PQ.13.1 PQ.17.2 CA.7 PQ.10.1.2 GJ.1.2.8 GJ.6 QU.1 BF.7.16.1 BF.7.13.2 XDV.1.5.1 XDV.1.5 NW.1.7.2 FY.5.1.1 AY.124.1.1 XDV.1.6 CS.1 KP.1.1.4 BN.1.10 NB.1.13 DL.1 P.1.7.1 P.1.7 P.1.6 GS.1 C.36.3.1 DV.7.1.2 PQ.31.1 GK.2.1.1 XCL QJ.1 XFC.2 PG.2 GA.4.1.1 B.1.1.467 XBB.2.3.1 KS.2 JN.1.13.1 PL.1.1 FY.5.3 XFG.3.16 JN.1.66 MV.1.4 BF.7.11 AY.122.6 LN.1.1 B.1.1.461 FK.1.4.1 XEC.8.1 XFG.7.1.1 LD.1.1 B.1.36.31 BA.2.83 FK.1.4 BL.1.4 LF.7.11.2 FY.2.1 PQ.29 PQ.2.8.1 B.1.575.2 XFB.2 NW.1.3 BA.5.2.53 BA.5.2.62 B.1.127 BA.5.2.14 CD.1 EG.10.1.1 EG.10.1 NL.9 CM.8.1.5 PQ.17.4 LG.1 BR.1 GY.3 JG.2 DA.1 XFG.4.1.1 LP.8.1.9 QH.1 BA.5.1.37 MC.3 XBF.7.1 XFG.3.3.1 XFG.5.2.1 XFG.3.3 XFG.3.5.2 XBT JV.1 CM.9 DY.1.1 BB.2 GY.2.1 B.1.177.26 BV.2 XBC.1.1.2 XBC.1.1 XBC.1.2 XBC.1.5 HK.1.2 BF.33 HB.1 AZ.2.1 AZ.3 AZ.1 AZ.2 B.1.1.318 AZ.5 BN.1.8 AY.43.1 CK.1.3 CR.1.1 DJ.1.1.1 C.36.1 XBB.1.5.53 B.1.177.76 XFG.3.18.1 XFG.9.1 B.1.1.37 B.1.258.23 CA.3.1 KW.1.1.1 XBB.2.6.2 B.1.258.4 BN.1.3.9 LH.2 EP.1.1 EP.1 BA.5.2.34 AU.3 JF.1.1.1 QR.1 MC.20 NW.1.2.4 BA.5.2.38 C.31 BA.5.2.20 NY.17.2 GY.9 CH.1.1.2 KP.3.1.5 BF.7.14.6 BF.7.14 BF.7.14.1 BF.7.14.5 HV.1.11 XBF.10 HG.2 XAY B.1.177.69 BA.5.2.4 PS.1 XFG.9.4.1 DV.7 B.1.36.23 DG.1 BA.5.9 CE.1 NY.23 GM.3 GJ.7 BF.7.12 XBC.1.1.1 MC.44 BY.1.1 CV.1 B.1.177.41 B.1.177.20 B.1.177.19 FU.1.1 B.1.177.67 XBF.1 PS.3 HG.1 GM.1 A.21 LP.8.2 LW.1 ND.1.1.2 B.1.313 B.1.426 BG.6 MR.1 GJ.1.2.4 BL.1.3 FY.1.2.2 BF.7.5.1 Q.2 BF.18 FY.3.2 PQ.4.3 XFV.2 PA.1 PA.1.3 C.2.1 B.1.36.20 FL.1.7 XEC.11.1.1 LE.1.2 XFG.4.2 B.1.1.207 NC.1.2.1 QD.1 B.1.351.5 NY.17 FY.1.3 CR.1.3 BN.1.2.1 AH.3 XFZ CN.2 EU.1.1.1 PQ.18 PQ.13.2 HW.1.1 B.1.1.338 BR.1.1 NW.1.1.1 XFG.3.5.1 MC.5 XBB.2.10 B.1.1.401 PA.1.2 AA.3 B.1.1.418 NY.5 XFG.14.3 NT.5 XFG.9.2 BA.2.79.1 BR.5 D.2 KP.2.28.1 BF.7.8 GL.2 AY.112.3 JP.1.1 XBB.1.16.30 CM.7.1 NY.3.7.1 C.36.3 GL.1 FY.1.2.1 XBB.2.3.18 NY.6 XBB.2.1 NY.18.1 HH.3 FL.24 PQ.2.4.1 XEF.2 CD.2 B.1.552 XB AY.64 GQ.1.1 MC.13.2.1 BA.5.1.32 BA.2.38.1 GK.1.6.1 XFH.2 MV.1.1 MV.1.8 MV.1 MV.1.7 MV.1.9 BF.39 B.1.1.384 PL.1 NY.25.1 KP.3.4.1 CA.4 BF.11.1 CH.1.1.29 XBB.2.3.13 XBB.2.3.10 XBB.2.3.6 XBB.2.3 XBB.2.3.15 XBB.2.3.20 XBB.2.3.14 XBB.2.3.7 XCW NY.3.2 FK.1 FK.1.2.1 FK.1.2 PQ.24 BF.15 PQ.28 A.30 HV.1.5 BE.5 BA.5.8 NY.1.2 XBB.1.16.4 XBB.1.34.1 QF.1 AY.63 GK.1.1 GK.1.1.1 MV.1.6 B.1.1.486 AY.4.2.4 XCT.1 BA.5.2.37 BL.1.5 GK.1.11 XCD PA.1.4 BF.7.9 XFG.1 JK.1 NY.13.2.1 B.1.177.68 XBB.2.3.17 CR.1 KP.2.2 B.1.631 XFG.17.4 AM.3 FL.1.6 XFC.1.4 XFC.1.1.1 LZ.1 HV.1.3 XBF.1.1 LP.8.1.3 FY.1.1 XBB.1.40 BN.2.1 B.1.621.1 QK.3 B.1.177.46 GS.4 C.4 XDQ.1 XBB.1.16.9 HC.3 BA.5.2.49 PE.1.1 BA.2.38.4 XDV.1.12 HK.13.2.1 XFG.6.6 V.2 B.1.177.54 AY.69 FY.6.2 BA.3 AY.24 BA.5.2.23 BV.1 LP.1.1 MC.25 XBG BF.19 PW.2 BA.4.1.10 CK.1.2 GY.2 CM.6.1 CP.2 XBB.1.41.3 BS.1.2 XFG.2.1 KJ.1 GS.5 MC.31 AY.53 MC.36.2 B.1.36.24 AY.124.1 C.16 CP.7 BQ.1.1.71 AM.4 B.1.1.417 GA.4.2 KP.3.1.9 B.1.599 BF.7.14.3 PQ.9 FH.1 AY.75.3 GW.5.3.1 BA.5.1.5 JF.4 HG.1.1 PQ.23 BM.2.1 XK FR.1.4 FR.1.5 FU.1 FU.3 FU.2 XBB.1.16.1 AY.3.4 BF.7.14.7 BF.16 BA.5.2.51 BA.5.2.41 BA.5.2.18 HH.4 B.1.1.353 GM.3.1 AY.9.2.2 FU.1.1.1 B.1.641 CM.3 JN.1.50.1 LP.8.1.15 CF.1 FY.3.3 PC.2.2 XBB.1.16.23 QK.1 HF.1.1 KP.2.2.2 XFG.23.1.2 XFV.1 FL.13.5 XFG.3.14 MV.1.2 EK.3 QG.1 FY.6.1 BF.7.4.2 CK.2.1.1 KP.3.1.2 BF.7.10
abundances	0.46428592 0.42858682 0.03577501 0.03564611 0.01785466 0.01785466 0.00001027 0.00000881 0.00000881 0.00000881 0.00000837 0.00000753 0.00000609 0.00000418 0.00000361 0.00000317 0.00000314 0.00000300 0.00000254 0.00000253 0.00000248 0.00000231 0.00000183 0.00000162 0.00000156 0.00000128 0.00000124 0.00000124 0.00000124 0.00000121 0.00000117 0.00000109 0.00000105 0.00000100 0.00000100 0.00000092 0.00000092 0.00000092 0.00000084 0.00000084 0.00000074 0.00000074 0.00000071 0.00000067 0.00000063 0.00000062 0.00000062 0.00000059 0.00000058 0.00000052 0.00000049 0.00000049 0.00000047 0.00000046 0.00000045 0.00000045 0.00000043 0.00000043 0.00000043 0.00000040 0.00000040 0.00000040 0.00000039 0.00000039 0.00000037 0.00000036 0.00000035 0.00000035 0.00000034 0.00000034 0.00000034 0.00000034 0.00000034 0.00000034 0.00000033 0.00000032 0.00000032 0.00000032 0.00000031 0.00000030 0.00000030 0.00000030 0.00000029 0.00000029 0.00000029 0.00000029 0.00000027 0.00000025 0.00000024 0.00000023 0.00000023 0.00000022 0.00000022 0.00000022 0.00000021 0.00000021 0.00000020 0.00000020 0.00000020 0.00000020 0.00000020 0.00000019 0.00000019 0.00000019 0.00000019 0.00000018 0.00000018 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000009 0.00000009 0.00000009 0.00000009 0.00000009 0.00000009 0.00000009 0.00000009 0.00000009 0.00000009 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000008 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000007 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000006 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000005 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000004 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000003 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000002 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001 0.00000001
resid	3.1215103113103426
coverage	14.543691268434605
